date,China
2004-01-01,46
2004-02-01,48
2004-03-01,48
2004-04-01,47
2004-05-01,46
2004-06-01,39
2004-07-01,34
2004-08-01,40
2004-09-01,42
2004-10-01,44
2004-11-01,46
2004-12-01,48
2005-01-01,46
2005-02-01,45
2005-03-01,46
2005-04-01,48
2005-05-01,48
2005-06-01,39
2005-07-01,41
2005-08-01,40
2005-09-01,40
2005-10-01,44
2005-11-01,47
2005-12-01,41
2006-01-01,44
2006-02-01,44
2006-03-01,43
2006-04-01,46
2006-05-01,44
2006-06-01,35
2006-07-01,34
2006-08-01,34
2006-09-01,36
2006-10-01,38
2006-11-01,40
2006-12-01,39
2007-01-01,39
2007-02-01,39
2007-03-01,39
2007-04-01,40
2007-05-01,40
2007-06-01,35
2007-07-01,35
2007-08-01,37
2007-09-01,42
2007-10-01,42
2007-11-01,43
2007-12-01,41
2008-01-01,38
2008-02-01,40
2008-03-01,38
2008-04-01,43
2008-05-01,53
2008-06-01,34
2008-07-01,33
2008-08-01,55
2008-09-01,37
2008-10-01,36
2008-11-01,33
2008-12-01,34
2009-01-01,35
2009-02-01,35
2009-03-01,36
2009-04-01,36
2009-05-01,34
2009-06-01,32
2009-07-01,31
2009-08-01,30
2009-09-01,35
2009-10-01,36
2009-11-01,37
2009-12-01,35
2010-01-01,38
2010-02-01,37
2010-03-01,38
2010-04-01,40
2010-05-01,36
2010-06-01,32
2010-07-01,33
2010-08-01,33
2010-09-01,34
2010-10-01,36
2010-11-01,39
2010-12-01,35
2011-01-01,38
2011-02-01,36
2011-03-01,40
2011-04-01,38
2011-05-01,38
2011-06-01,34
2011-07-01,33
2011-08-01,35
2011-09-01,35
2011-10-01,40
2011-11-01,39
2011-12-01,38
2012-01-01,36
2012-02-01,39
2012-03-01,38
2012-04-01,38
2012-05-01,38
2012-06-01,33
2012-07-01,32
2012-08-01,35
2012-09-01,36
2012-10-01,34
2012-11-01,36
2012-12-01,40
2013-01-01,35
2013-02-01,35
2013-03-01,37
2013-04-01,40
2013-05-01,37
2013-06-01,33
2013-07-01,32
2013-08-01,32
2013-09-01,34
2013-10-01,37
2013-11-01,39
2013-12-01,38
2014-01-01,37
2014-02-01,36
2014-03-01,39
2014-04-01,35
2014-05-01,37
2014-06-01,33
2014-07-01,34
2014-08-01,34
2014-09-01,34
2014-10-01,35
2014-11-01,35
2014-12-01,36
2015-01-01,36
2015-02-01,37
2015-03-01,36
2015-04-01,37
2015-05-01,38
2015-06-01,38
2015-07-01,38
2015-08-01,48
2015-09-01,40
2015-10-01,40
2015-11-01,40
2015-12-01,38
2016-01-01,41
2016-02-01,39
2016-03-01,38
2016-04-01,44
2016-05-01,40
2016-06-01,36
2016-07-01,36
2016-08-01,37
2016-09-01,37
2016-10-01,37
2016-11-01,36
2016-12-01,41
2017-01-01,39
2017-02-01,39
2017-03-01,39
2017-04-01,45
2017-05-01,38
2017-06-01,34
2017-07-01,37
2017-08-01,34
2017-09-01,36
2017-10-01,36
2017-11-01,41
2017-12-01,37
2018-01-01,38
2018-02-01,39
2018-03-01,40
2018-04-01,41
2018-05-01,38
2018-06-01,35
2018-07-01,35
2018-08-01,34
2018-09-01,36
2018-10-01,37
2018-11-01,37
2018-12-01,40
2019-01-01,40
2019-02-01,38
2019-03-01,39
2019-04-01,37
2019-05-01,43
2019-06-01,37
2019-07-01,34
2019-08-01,40
2019-09-01,38
2019-10-01,45
2019-11-01,37
2019-12-01,39
2020-01-01,58
2020-02-01,61
2020-03-01,100
2020-04-01,73
2020-05-01,55
2020-06-01,47
2020-07-01,49
2020-08-01,41
2020-09-01,39
2020-10-01,40
2020-11-01,36
2020-12-01,40
2021-01-01,43
2021-02-01,37
2021-03-01,37
2021-04-01,37
